Project Title,Application ID,Project Start Date,Project End Date,Funding Mechanism,Fiscal Year,Total Cost,Total Cost (Sub Projects),Funding IC(s),Direct Cost IC,InDirect Cost IC,Total Cost IC
MARKERS FOR METASTASIS AND RISK IN COLORECTAL CANCER,2092600,4/1/1988 0:00,11/30/1996 0:00, ,1994,204362, ,NCI, , ,204362
MARKERS FOR METASTASIS AND RISK IN COLORECTAL CANCER,2092601,4/1/1988 0:00,11/30/1996 0:00,Non-SBIR/STTR,1995,224382, ,NCI, , ,224382
NEOPLASTIC PROGRESSION IN PAPILLOMAVIRUS TRANSGENIC MICE,2092669,9/1/1988 0:00,2/28/1998 0:00, ,1994,285892, ,NCI, , ,285892
NEOPLASTIC PROGRESSION IN PAPILLOMAVIRUS TRANSGENIC MICE,2092670,9/1/1988 0:00,2/28/1998 0:00,Non-SBIR/STTR,1995,299642, ,NCI, , ,299642
HEPATITIS B VIRUS X ANTIGEN AND PHC,2093013,3/1/1988 0:00,4/30/1998 0:00, ,1994,204088, ,NCI, , ,204088
HEPATITIS B VIRUS X ANTIGEN AND PHC,2093014,3/1/1988 0:00,4/30/1998 0:00,Non-SBIR/STTR,1995,209147, ,NCI, , ,209147
A TUMOR SUPPRESSOR GENE ON HUMAN CHROMOSOME 9P,2093184,1/13/1989 0:00,12/31/1996 0:00, ,1994,192636, ,NCI, , ,192636
A TUMOR SUPPRESSOR GENE ON HUMAN CHROMOSOME 9P,2093185,1/13/1989 0:00,12/31/1996 0:00,Non-SBIR/STTR,1995,207208, ,NCI, , ,207208
TUMOR SUPPRESSION FUNCTION OF RB & P53 IN MAMMARY GLAND,2093378,5/10/1989 0:00,4/30/1999 0:00, ,1994,192648, ,NCI, , ,192648
TUMOR SUPPRESSION FUNCTION OF RB & P53 IN MAMMARY GLAND,2093379,5/10/1989 0:00,4/30/1999 0:00,Non-SBIR/STTR,1995,205617, ,NCI, , ,205617
CANCER CAUSE AND PREVENTION RESEARCH,2093427,8/1/1990 0:00,7/31/1999 0:00, ,1994,1223875, ,NCI, , ,1223875
CANCER CAUSE AND PREVENTION RESEARCH,2093428,8/1/1990 0:00,7/31/1999 0:00,Non-SBIR/STTR,1995,1270070, ,NCI, , ,1270070
DNA METHYLATION IN DEVELOPMENT AND CANCER,2093431,5/1/1989 0:00,2/28/2001 0:00, ,1994,622743, ,NCI, , ,622743
DNA METHYLATION IN DEVELOPMENT AND CANCER,2093432,5/1/1989 0:00,2/28/2001 0:00,Non-SBIR/STTR,1995,648839, ,NCI, , ,648839
MOLECULAR EVENTS IN BLAST CRISIS OF CML,2093690,7/1/1989 0:00,4/30/1995 0:00, ,1993,205382, ,NCI, , ,205382
MECHANISMS OF PROGRESSION IN ONCOGENE INDUCED PROSTATE C,2093858,9/8/1989 0:00,7/31/1996 0:00, ,1994,161834, ,NCI, , ,161834
MECHANISMS OF PROGRESSION IN ONCOGENE INDUCED PROSTATE C,2093859,9/8/1989 0:00,7/31/1996 0:00,Non-SBIR/STTR,1995,171741, ,NCI, , ,171741
MOLECULAR PATHOLOGY OF GLIOMAS,2094024,1/13/1995 0:00,11/30/1998 0:00,Non-SBIR/STTR,1995,346250, ,NCI, , ,346250
CYSTEINE CAPHEPSINS & HUMAN COLORECTAL TUMOR PROGRESSION,2094412,4/15/1993 0:00,1/31/1997 0:00, ,1994,178389, ,NCI, , ,178389
CYSTEINE CATHEPSIN & HUMAN COLORECTAL TUMOR PROGRESSION,2094413,4/15/1993 0:00,1/31/1997 0:00,Non-SBIR/STTR,1995,192216, ,NCI, , ,192216
CYSTEINE CATHEPSIN & HUMAN COLORECTAL TUMOR PROGRESSION,2094414,4/15/1993 0:00,1/31/1999 0:00,Non-SBIR/STTR,1996,200754, ,NCI, , ,200754
EXPRESSION AND MODULATION OF MULTIDRUG RESISTANCE,2094628,4/15/1990 0:00,5/31/1999 0:00,Non-SBIR/STTR,1995,288000, ,NCI, , ,288000
MAMMALIAN GENOME ORGANIZATION AND GENE AMPLIFICATION,2094807,7/1/1990 0:00,4/30/1998 0:00, ,1994,277385, ,NCI, , ,277385
MAMMALIAN GENOME ORGANIZATION AND GENE AMPLIFICATION,2094808,7/1/1990 0:00,4/30/1998 0:00,Non-SBIR/STTR,1995,292597, ,NCI, , ,292597
TARGETING ONCOGENE EXPRESSION TO SKIN IN TRANSGENIC MICE,2094853,8/1/1990 0:00,2/28/1999 0:00, ,1994,297035, ,NCI, , ,297035
TARGETING ONCOGENE EXPRESSION TO SKIN IN TRANSGENIC MICE,2094854,8/1/1990 0:00,2/28/1999 0:00,Non-SBIR/STTR,1995,305345, ,NCI, , ,305345
LIGASE DEFICIENCY--A MODEL FOR DNA REPAIR SYNDROMES,2094931,8/1/1990 0:00,7/31/1996 0:00, ,1994,250529, ,NCI, , ,250529
MOLECULAR GENETICS OF HUMAN ASTROCYTOMA,2095020,7/1/1990 0:00,6/30/1995 0:00, ,1994,94185, ,NCI, , ,94185
DEVELOPMENTAL CONTROL OF ONCOGENE EXPRESSION,2095182,7/22/1992 0:00,4/30/1997 0:00, ,1994,232398, ,NCI, , ,232398
DEVELOPMENTAL CONTROL OF ONCOGENE EXPRESSION,2095183,7/22/1992 0:00,4/30/1997 0:00,Non-SBIR/STTR,1995,161533, ,NCI, , ,161533
FUNCTION OF THE ADENOVIRUS E1B ONCOGENE,2095291,1/1/1991 0:00,12/31/1995 0:00, ,1994,207405, ,NCI, , ,207405
FUNCTION OF THE ADENOVIRUS E1B ONCOGENE,2095293,1/1/1991 0:00,12/31/1995 0:00,Non-SBIR/STTR,1995,225035, ,NCI, , ,225035
TUMOR SUPPRESSOR GENES IN CHEMICALLY INDUCED SKIN TUMORS,2095462,1/1/1991 0:00,12/31/1995 0:00, ,1994,191080, ,NCI, , ,191080
MECHANISMS OF DNA DAMAGE INDUCED RECOMBINATION,2095676,7/1/1990 0:00,11/30/1998 0:00,Non-SBIR/STTR,1995,176031, ,NCI, , ,176031
MECHANISMS OF DNA DAMAGE INDUCED RECOMBINATION,2095677,7/1/1990 0:00,8/31/1996 0:00,Non-SBIR/STTR,1996,137449, ,NCI, , ,137449
PROTO-ONCOGENES IN MALIGNANT HEMATOPOIESIS,2095883,7/3/1991 0:00,6/30/1995 0:00, ,1993,261790, ,NCI, , ,261790
NOVEL NUCLEAR PROTEINS IN NORMAL AND CANCER CELLS,2095900,3/1/1992 0:00,7/31/1999 0:00,Non-SBIR/STTR,1995,245016, ,NCI, , ,245016
OVARIAN CANCER RISK AND HYPERGONADOTROPIC HYPOGONADISM,2095922,4/17/1992 0:00,1/31/1997 0:00, ,1994,588607, ,NCI, , ,588607
OVARIAN CANCER RISK AND HYPERGONADOTROPIC HYPOGONADISM,2095923,4/17/1992 0:00,1/31/1997 0:00,Non-SBIR/STTR,1995,622475, ,NCI, , ,622475
RELATION OF HEPATITIS C VIRUS--HEPATOCELLULAR CARCINOMA,2096055,3/15/1992 0:00,2/29/1996 0:00,Non-SBIR/STTR,1994,158146, ,NCI, , ,158146
INACTIVATED P53 GENE IN MICE,2096216,4/15/1992 0:00,9/29/1995 0:00, ,1994,190784, ,NCI, , ,190784
P53 AND CELL PROLIFERATION,2096276,7/15/1991 0:00,6/30/1995 0:00, ,1994,168443, ,NCI, , ,168443
BIOLOGY AND MECHANISM OF AAV REP78 ANTIPROLIFERATION,2096283,4/1/1993 0:00,3/31/1998 0:00, ,1994,98306, ,NCI, , ,98306
BIOLOGY AND MECHANISM OF AAV REP78 ANTIPROLIFERATION,2096284,4/1/1993 0:00,3/31/1998 0:00,Non-SBIR/STTR,1995,102238, ,NCI, , ,102238
THERAPY OF AML,2096370,6/1/1992 0:00,3/31/1996 0:00, ,1994,1759812, ,NCI, , ,1759812
THERAPY OF AML,2096371,6/1/1992 0:00,9/29/1996 0:00,Non-SBIR/STTR,1995,1869189, ,NCI, , ,1869189
THERAPY OF AML,2096372,6/1/1992 0:00,9/29/1996 0:00,Non-SBIR/STTR,1996,286974, ,NCI, , ,286974
MOLECULAR PATHOGENESIS OF TUMORS IN NEUROFIBROMATOSIS,2096378,7/5/1991 0:00,6/30/1996 0:00, ,1994,114954, ,NCI, , ,114954
TUMOR SUPPRESSOR GENE INACTIVATION IN PROSTATE CANCER,2096443,7/1/1991 0:00,5/31/1996 0:00, ,1994,123869, ,NCI, , ,123869
"GLIOMAS--BIOLOGIC, MOLECULAR, AND GENETIC STUDIES",2096482,8/1/1992 0:00,3/31/1996 0:00,Non-SBIR/STTR,1994,784498, ,NCI, , ,784498
CLINICAL & MOLECULAR STUDIES ON AIDS-RELATED LYMPHOMAS,2096662,7/1/1991 0:00,6/30/1995 0:00, ,1993,209919, ,NCI, , ,209919
GROWTH REGULATION & TRANSFORMATION OF OVARIAN EPITHELIUM,2096747,2/1/1992 0:00,1/31/1997 0:00, ,1994,105560, ,NCI, , ,105560
GROWTH REGULATION & TRANSFORMATION OF OVARIAN EPITHELIUM,2096748,2/1/1992 0:00,1/31/1997 0:00,Non-SBIR/STTR,1995,107217, ,NCI, , ,107217
GENETIC ALTERATIONS IN CNS TUMOR DEVELOPMENT,2096840,5/1/1991 0:00,2/28/1995 0:00, ,1994,151872, ,NCI, , ,151872
GENETIC ALTERATIONS IN CNS TUMOR DEVELOPMENT,2096842,5/1/1991 0:00,5/11/1996 0:00,Non-SBIR/STTR,1995,181082, ,NCI, , ,181082
SUNLIGHT-RELATED STEPS IN HUMAN SKIN CANCER,2096853,4/1/1992 0:00,3/31/1996 0:00,Non-SBIR/STTR,1994,155521, ,NCI, , ,155521
ECOGENETICS OF LUNG CANCER IN MINORITY POPULATIONS,2096879,9/30/1991 0:00,8/31/1995 0:00, ,1994,313645, ,NCI, , ,313645
QUANTITATIVE DNA MOLECULAR STUDIES IN PROSTATE CANCER,2096898,4/2/1993 0:00,1/31/1996 0:00, ,1994,675030, ,NCI, , ,675030
"GROWTH GENES, EXTRACELLULAR MATRIX AND ANGIOGENESIS",2096937,7/1/1994 0:00,4/30/1999 0:00, ,1994,172097, ,NCI, , ,172097
"GROWTH GENES, EXTRACELLULAR MATRIX AND ANGIOGENESIS",2096938,7/1/1994 0:00,4/30/1999 0:00,Non-SBIR/STTR,1995,180017, ,NCI, , ,180017
GERM LINE P53 MUTATIONS AND CANCER,2096995,3/10/1992 0:00,2/28/1995 0:00, ,1994,303851, ,NCI, , ,303851
MOLECULAR MECHANISM OF HEMATOLOGICAL MALIGNANCY,2097075,3/4/1992 0:00,2/28/1996 0:00, ,1994,253963, ,NCI, , ,253963
MUCIN GENES AND COLONIC CELL TRANSFORMATION,2097092,2/12/1992 0:00,1/31/1995 0:00, ,1994,189640, ,NCI, , ,189640
BLADDER CANCER--SUPPESSOR GENES AND RADIATION RESPONSE,2097274,4/2/1992 0:00,3/31/1995 0:00, ,1993,44450, ,NCI, , ,44450
P53 MUTATIONAL SPECTRUM IN LUNG TUMORS FROM NONSMOKERS,2097542,1/1/1993 0:00,12/31/1995 0:00, ,1994,280858, ,NCI, , ,280858
P53 IN BREAST CANCER,2097554,5/11/1992 0:00,11/30/1995 0:00,Non-SBIR/STTR,1994,195090, ,NCI, , ,195090
"SITE-SPECIFIC GENE DAMAGE, MUTATION, AND CANCER",2097595,1/1/1993 0:00,12/31/1996 0:00, ,1994,222397, ,NCI, , ,222397
"SITE-SPECIFIC GENE DAMAGE, MUTATION, AND CANCER",2097596,1/1/1993 0:00,12/31/1996 0:00,Non-SBIR/STTR,1995,238140, ,NCI, , ,238140
MAMMARY EPITHELIAL CELL IMMORTALIZATION,2097600,4/1/1992 0:00,3/31/1997 0:00, ,1994,133285, ,NCI, , ,133285
MAMMARY EPITHELIAL CELL IMMORTALIZATION,2097601,4/1/1992 0:00,3/31/1997 0:00,Non-SBIR/STTR,1995,140405, ,NCI, , ,140405
P53 BREAST CANCER MUTATIONS IN HIGH AND LOW RISK GROUPS,2097663,8/5/1992 0:00,7/31/1997 0:00, ,1994,191297, ,NCI, , ,191297
P53 BREAST CANCER MUTATIONS IN HIGH AND LOW RISK GROUPS,2097664,8/5/1992 0:00,5/31/1997 0:00,Non-SBIR/STTR,1995,262201, ,NCI, , ,262201
P53 BREAST CANCER MUTATIONS IN HIGH AND LOW RISK GROUPS,2097665,8/5/1992 0:00,5/31/1998 0:00,Non-SBIR/STTR,1996,263006, ,NCI, , ,263006
MARKERS FOR BLADDER CANCER DIAGNOSIS AND PROGNOSIS,2097741,5/1/1992 0:00,3/31/1996 0:00, ,1994,163384, ,NCI, , ,163384
IMMUNE DYSFUNCTION AND AIDS ASSOCIATED B CELL LYMPHOMA,2097910,4/3/1992 0:00,6/30/1998 0:00,Non-SBIR/STTR,1995,157165, ,NCI, , ,157165
MARKERS FOR MALIGNANT PROGRESSION IN PROSTATE CANCER,2097935,7/23/1992 0:00,6/30/1996 0:00, ,1994,165341, ,NCI, , ,165341
MARKERS FOR MALIGNANT PROGRESSION IN PROSTATE CANCER,2097936,7/23/1992 0:00,6/30/1997 0:00,Non-SBIR/STTR,1995,175466, ,NCI, , ,175466
MOLECULAR EXPRESSION ANALYSIS IN PROSTATE CANCER,2097948,7/20/1992 0:00,6/30/1996 0:00, ,1994,34040, ,NCI, , ,34040
MOLECULAR EXPRESSION ANALYSIS IN PROSTATE CANCER,2097949,7/20/1992 0:00,6/30/1997 0:00,Non-SBIR/STTR,1995,36249, ,NCI, , ,36249
GENETIC LOCI ASSOCIATED WITH PROSTATE CANCER DEVELOPMENT,2097954,7/17/1992 0:00,6/30/1996 0:00, ,1994,137963, ,NCI, , ,137963
GENETIC LOCI ASSOCIATED WITH PROSTATE CANCER DEVELOPMENT,2097955,7/17/1992 0:00,6/30/1997 0:00,Non-SBIR/STTR,1995,144796, ,NCI, , ,144796
TRANSFORMING FUNCTIONS OF MUTANT COLON CANCER ONCOGENES,2097961,7/15/1992 0:00,4/30/1996 0:00, ,1994,207540, ,NCI, , ,207540
RAS ONCOGENE ACTIVATION IN UVR-INDUCED CORNEAL TUMORS,2098112,9/30/1993 0:00,9/29/1996 0:00, ,1994,49657, ,NCI, , ,49657
BIOCHEMICAL ROLE OF THE P53 GENE PRODUCT IN HUMAN CANCER,2098146,9/1/1993 0:00,7/31/1998 0:00, ,1994,92038, ,NCI, , ,92038
BIOCHEMICAL ROLE OF THE P53 GENE PRODUCT IN HUMAN CANCER,2098147,9/1/1993 0:00,10/31/1995 0:00,Non-SBIR/STTR,1995,15293, ,NCI, , ,15293
BIOCHEMICAL ROLE OF THE P53 GENE PRODUCT IN HUMAN CANCER,2098148,9/1/1993 0:00,7/31/1998 0:00,Non-SBIR/STTR,1995,84100, ,NCI, , ,84100
BIOCHEMICAL ROLE OF THE P53 GENE PRODUCT IN HUMAN CANCER,2098149,9/1/1993 0:00,7/31/1998 0:00,Non-SBIR/STTR,1996,104035, ,NCI, , ,104035
P53 & FIBROCYSTIC DISEASE--INCREASED BREAST CANCER RISK,2098168,7/1/1992 0:00,6/30/1996 0:00,Non-SBIR/STTR,1994,187895, ,NCI, , ,187895
TOWARD A MOLECULAR CLASSIFICATION OF HUMAN ASTROCYTOMAS,2098404,8/1/1992 0:00,7/31/1997 0:00, ,1994,281967, ,NCI, , ,281967
TOWARD A MOLECULAR CLASSIFICATION OF HUMAN ASTROCYTOMAS,2098405,8/1/1992 0:00,7/31/1997 0:00,Non-SBIR/STTR,1995,299232, ,NCI, , ,299232
GENE CHANGES AND CHEMOTHERAPY FOR COLON CANCER,2098428,9/10/1992 0:00,7/31/1997 0:00, ,1994,172278, ,NCI, , ,172278
GENE CHANGES AND CHEMOTHERAPY FOR COLON CANCER,2098429,9/10/1992 0:00,7/31/1997 0:00,Non-SBIR/STTR,1995,182567, ,NCI, , ,182567
GENE CHANGES AND CHEMOTHERAPY FOR COLON CANCER,2098430,9/10/1992 0:00,7/31/1998 0:00,Non-SBIR/STTR,1996,198518, ,NCI, , ,198518
ONCOGENE SPECIFIC CYTOTOXIC T LYMPHOCYTES,2098594,8/7/1992 0:00,5/31/1997 0:00, ,1994,148635, ,NCI, , ,148635
GENETIC AND HORMONAL FACTORS IN MAMMARY CARCINOGENESIS,2098700,4/14/1992 0:00,10/5/1994 0:00, ,1994,67752, ,NCI, , ,67752
MOLECULARLY-DEFINED TAA AS HUMAN ANTITUMOR CTL TARGETS,2098718,8/1/1992 0:00,5/31/1997 0:00, ,1994,229949, ,NCI, , ,229949
MOLECULARLY-DEFINED TAA AS HUMAN ANTITUMOR CTL TARGETS,2098719,8/1/1992 0:00,5/31/1997 0:00,Non-SBIR/STTR,1995,257351, ,NCI, , ,257351
MOLECULAR PATHWAY TO PROSTATE CANCER,2098793,9/30/1992 0:00,9/29/1995 0:00, ,1994,214168, ,NCI, , ,214168
GENE TRANSFER FOR SUPPRESSION OF THE TUMOR PHENOTYPE,2099016,5/1/1992 0:00,4/30/1995 0:00, ,1993,169995, ,NCI, , ,169995
DORMANT LYMPHOMA CELLS FROM MICE,2099027,2/3/1993 0:00,1/31/1996 0:00, ,1994,158875, ,NCI, , ,158875
REGULATION OF MULTIDRUG RESISTANCE GENE EXPRESSION,2099140,1/1/1993 0:00,12/31/1997 0:00, ,1994,103706, ,NCI, , ,103706
REGULATION OF MULTIDRUG RESISTANCE GENE EXPRESSION,2099141,1/1/1993 0:00,12/31/1997 0:00,Non-SBIR/STTR,1995,104979, ,NCI, , ,104979
ADENOVIRUS E3 PROTEINS AND TUMOR NECROSIS FACTOR,2099224,9/30/1993 0:00,8/31/1996 0:00, ,1994,108850, ,NCI, , ,108850
P53-GUANINE NUCLEOTIDE REGULATOR,2099295,1/1/1993 0:00,12/31/1995 0:00, ,1994,236977, ,NCI, , ,236977
PATHOLOGY OF GASTRIC CANCER,2099391,2/1/1993 0:00,1/31/1998 0:00, ,1994,142529, ,NCI, , ,142529
PATHOLOGY OF GASTRIC CANCER,2099392,2/1/1993 0:00,1/31/1998 0:00,Non-SBIR/STTR,1995,146942, ,NCI, , ,146942
LOSS OF HETEROZYGOSITY IN BILATERAL BREAST CANCER,2099483,8/13/1993 0:00,7/31/1996 0:00, ,1994,307106, ,NCI, , ,307106
HEREDITARY BREAST CANCER--GENETIC AND MOLECULAR STUDIES,2099493,2/4/1994 0:00,12/31/1997 0:00, ,1994,591762, ,NCI, , ,591762
HEREDITARY BREAST CANCER--GENETIC AND MOLECULAR STUDIES,2099494,2/4/1994 0:00,12/31/1997 0:00,Non-SBIR/STTR,1995,721628, ,NCI, , ,721628
CATIONIC LIPOSOME-BASED GENE THERAPY FOR LUNG CANCER,2099531,7/1/1993 0:00,4/30/1995 0:00, ,1994,154975, ,NCI, , ,154975
SPONTANEOUS TRANSFORMATION OF HEPATIC STEM CELLS,2100078,4/16/1993 0:00,3/31/1998 0:00, ,1994,174220, ,NCI, , ,174220
SPONTANEOUS TRANSFORMATION OF HEPATIC STEM CELLS,2100079,4/16/1993 0:00,3/31/1998 0:00,Non-SBIR/STTR,1995,189280, ,NCI, , ,189280
STAGES OF EVOLUTION OF HEPATOCARCINOGENESIS IN VITRO,2100097,9/30/1994 0:00,3/31/1998 0:00, ,1994,83830, ,NCI, , ,83830
STAGES OF EVOLUTION OF HEPATOCARCINOGENESIS IN VITRO,2100099,9/30/1994 0:00,3/31/1998 0:00,Non-SBIR/STTR,1995,171306, ,NCI, , ,171306
PATHOGENESIS OF HUMAN PROSTATE CARCINOMAS,2100284,6/1/1993 0:00,3/31/1998 0:00, ,1994,277528, ,NCI, , ,277528
PATHOGENESIS OF HUMAN PROSTATE CARCINOMAS,2100285,6/1/1993 0:00,3/31/1998 0:00,Non-SBIR/STTR,1995,295736, ,NCI, , ,295736
FACTORS AFFECTING SURVIVAL OF YOUNG CANCER PATIENTS,2100338,6/5/1993 0:00,3/31/1998 0:00, ,1994,280388, ,NCI, , ,280388
FACTORS AFFECTING SURVIVAL OF YOUNG CANCER PATIENTS,2100339,6/5/1993 0:00,3/31/1998 0:00,Non-SBIR/STTR,1995,288863, ,NCI, , ,288863
NUCLEAR REGULATORS IN MYELOPOIESIS AND LEUKEMIA,2100388,9/1/1994 0:00,8/31/1999 0:00, ,1994,179665, ,NCI, , ,179665
NUCLEAR REGULATORS IN MYELOPOIESIS AND LEUKEMIA,2100389,9/1/1994 0:00,8/31/1999 0:00,Non-SBIR/STTR,1995,211761, ,NCI, , ,211761
P53--MARKER FOR ORAL CAVITY PREMALIGNANCY & CANCER RISK,2100529,4/1/1995 0:00,1/31/1996 0:00,Non-SBIR/STTR,1995,148403, ,NCI, , ,148403
P53--MARKER FOR ORAL CAVITY PREMALIGNANCY & CANCER RISK,2100530,4/1/1995 0:00,1/31/1999 0:00,Non-SBIR/STTR,1996,144704, ,NCI, , ,144704
CYSTEINE RESIDUES AND P53 FUNCTION,2100715,9/30/1994 0:00,7/31/1997 0:00, ,1994,172343, ,NCI, , ,172343
CYSTEINE RESIDUES AND P53 FUNCTION,2100717,9/30/1994 0:00,7/31/1997 0:00,Non-SBIR/STTR,1995,171675, ,NCI, , ,171675
CYSTEINE RESIDUES AND P53 FUNCTION,2100719,9/30/1994 0:00,7/31/1999 0:00,Non-SBIR/STTR,1996,174208, ,NCI, , ,174208
CYSTEINE RESIDUES AND P53 FUNCTION,2100720,9/30/1994 0:00,7/31/1999 0:00,Non-SBIR/STTR,1996,22169, ,NCI, , ,22169
DNA STUDIES & P53 GENE ABNORMALITIES IN PROSTATE CANCER,2100724,7/1/1993 0:00,6/30/1995 0:00, ,1994,147583, ,NCI, , ,147583
DNA STUDIES & P53 GENE ABNORMALITIES IN PROSTATE CANCER,2100725,7/1/1993 0:00,6/30/1997 0:00,Non-SBIR/STTR,1995,145617, ,NCI, , ,145617
DNA STUDIES & P53 GENE ABNORMALITIES IN PROSTATE CANCER,2100726,7/1/1993 0:00,6/30/1997 0:00,Non-SBIR/STTR,1996,141828, ,NCI, , ,141828
MOLECULAR GENETICS AND ADJUVANT THERAPY OF COLON CANCER,2100728,8/9/1993 0:00,6/30/1997 0:00, ,1994,200528, ,NCI, , ,200528
MOLECULAR GENETICS AND ADJUVANT THERAPY OF COLON CANCER,2100729,8/9/1993 0:00,6/30/1997 0:00,Non-SBIR/STTR,1995,194973, ,NCI, , ,194973
RB1 AND P53 LOSS IN PROGNOSIS OF PEDIATRIC OSTEOSARCOMA,2100752,12/15/1993 0:00,6/30/1997 0:00, ,1994,95768, ,NCI, , ,95768
RB1 AND P53 LOSS IN PROGNOSIS OF PEDIATRIC OSTEOSARCOMA,2100753,12/15/1993 0:00,6/30/1996 0:00,Non-SBIR/STTR,1995,162328, ,NCI, , ,162328
RB1 AND P53 LOSS IN PROGNOSIS OF PEDIATRIC OSTEOSARCOMA,2100754,12/15/1993 0:00,6/30/1998 0:00,Non-SBIR/STTR,1996,161966, ,NCI, , ,161966
LABORATORY-CLINICAL CORRELATIVE STUDIES IN LUNG CANCER,2100756,9/30/1993 0:00,9/29/1996 0:00, ,1994,188335, ,NCI, , ,188335
LABORATORY-CLINICAL CORRELATIVE STUDIES IN LUNG CANCER,2100757,9/30/1993 0:00,9/29/1998 0:00,Non-SBIR/STTR,1995,200541, ,NCI, , ,200541
BRAIN TUMORS,2100859,3/1/1993 0:00,2/28/1996 0:00, ,1994,78000, ,NCI, , ,78000
RECESSIVE MUTATIONS IN THE GENESIS OF PROSTATE CANCER,2101083,9/30/1992 0:00,9/29/1996 0:00, ,1994,178123, ,NCI, , ,178123
TUMOR SUPPRESSOR GENES IN ADULT ALL,2101170,9/30/1993 0:00,6/30/1995 0:00, ,1994,140991, ,NCI, , ,140991
TUMOR SUPPRESSOR GENES IN ADULT ALL,2101171,9/30/1993 0:00,6/30/1997 0:00,Non-SBIR/STTR,1995,148144, ,NCI, , ,148144
DNA REPLICATION PROTEIN COMPLEX A,2101255,7/11/1994 0:00,6/30/1997 0:00, ,1994,155433, ,NCI, , ,155433
DNA REPLICATION PROTEIN COMPLEX A,2101256,7/11/1994 0:00,12/31/1997 0:00,Non-SBIR/STTR,1995,169091, ,NCI, , ,169091
MOLECULAR ANALYSIS OF CHROMOSOME INSTABILITY SYNDROMES,2101335,5/1/1994 0:00,2/28/1999 0:00, ,1994,199602, ,NCI, , ,199602
MOLECULAR ANALYSIS OF CHROMOSOME INSTABILITY SYNDROMES,2101336,5/1/1994 0:00,2/28/1999 0:00,Non-SBIR/STTR,1995,213240, ,NCI, , ,213240
CHROMOSOME 17 IN THE EARLY STAGES OF OVARIAN CANCER,2101390,8/1/1993 0:00,5/31/1997 0:00, ,1994,151925, ,NCI, , ,151925
CHROMOSOME 17 IN THE EARLY STAGES OF OVARIAN CANCER,2101391,8/1/1993 0:00,5/31/1997 0:00,Non-SBIR/STTR,1995,161227, ,NCI, , ,161227
MUTATION-INDEPENDENT ALTERATION OF P53 IN BREAST CANCER,2101412,9/15/1993 0:00,8/31/1998 0:00, ,1994,98627, ,NCI, , ,98627
MUTATION-INDEPENDENT ALTERATION OF P53 IN BREAST CANCER,2101413,9/15/1993 0:00,8/31/1998 0:00,Non-SBIR/STTR,1995,102989, ,NCI, , ,102989
MUTATION-INDEPENDENT ALTERATION OF P53 IN BREAST CANCER,2101414,9/15/1993 0:00,8/31/1998 0:00,Non-SBIR/STTR,1996,107541, ,NCI, , ,107541
GENETIC EPIDEMIOLOGY OF LUNG CANCER,2101444,12/15/1994 0:00,11/30/1998 0:00,Non-SBIR/STTR,1995,384350, ,NCI, , ,384350
ANTIONCOGENES IN CARCINOGEN-INDUCED PANCREATIC CANCER,2101491,7/1/1993 0:00,6/30/1998 0:00, ,1994,105578, ,NCI, , ,105578
MOUSE MODELS FOR PROSTATE CARCINOGENESIS,2101540,5/16/1994 0:00,2/28/1998 0:00, ,1994,296846, ,NCI, , ,296846
MOUSE MODELS FOR PROSTATE CARCINOGENESIS,2101541,5/16/1994 0:00,2/28/1998 0:00,Non-SBIR/STTR,1995,295078, ,NCI, , ,295078
RESPONSE DETERMINANTS IN ADVANCED BREAST CANCER,2101633,7/1/1994 0:00,6/30/1997 0:00, ,1994,243424, ,NCI, , ,243424
PREDICTORS OF PROGRESSION IN BARRETTS ESOPHAGUS,2101917,2/7/1995 0:00,11/30/1999 0:00,Non-SBIR/STTR,1995,810113, ,NCI, , ,810113
ONCOGENE-SPECIFIC IMMUNE RESPONSES IN BREAST CANCER,2101972,6/1/1994 0:00,5/31/1997 0:00, ,1994,206913, ,NCI, , ,206913
ONCOGENE-SPECIFIC IMMUNE RESPONSES IN BREAST CANCER,2101973,6/1/1994 0:00,6/2/1996 0:00,Non-SBIR/STTR,1995,197527, ,NCI, , ,197527
CONSTRUCTION OF VACCINES AGAINST BREAST CANCER,2102174,5/2/1994 0:00,4/30/1997 0:00, ,1994,194606, ,NCI, , ,194606
CONSTRUCTION OF VACCINES AGAINST BREAST CANCER,2102175,5/2/1994 0:00,4/30/1997 0:00,Non-SBIR/STTR,1995,199200, ,NCI, , ,199200
DIET AND SOMATIC MUTATIONS IN COLON CANCER,2102526,8/1/1995 0:00,4/30/2000 0:00,Non-SBIR/STTR,1995,743750, ,NCI, , ,743750
NOVEL BREAST CANCER GROWTH SUPPRESSOR GENE,2102710,2/1/1994 0:00,1/31/1997 0:00, ,1994,166938, ,NCI, , ,166938
NOVEL BREAST CANCER GROWTH SUPPRESSOR GENE,2102711,2/1/1994 0:00,1/31/1997 0:00,Non-SBIR/STTR,1995,149650, ,NCI, , ,149650
"P53, MYC, GENETIC INSTABILITY AND CELL SURVIVAL AFTER IR",2102840,3/9/1994 0:00,2/28/1998 0:00, ,1994,197935, ,NCI, , ,197935
"P53, MYC, GENETIC INSTABILITY AND CELL SURVIVAL AFTER IR",2102842,3/9/1994 0:00,2/28/1998 0:00,Non-SBIR/STTR,1995,191091, ,NCI, , ,191091
